purchase_date,price,num_tickets,fare_type,trip_id,passenger_id,star_rating,transaction_id
2023-08-29,57,2,economy,1,280,4,1
2023-09-05,57,1,economy,1,170,4,2
2023-08-23,57,3,economy,1,140,3,3
2023-08-28,114,1,business,1,96,4,4
2023-09-08,57,6,economy,1,286,4,5
2023-08-29,57,1,economy,1,155,3,6
2023-08-21,57,1,economy,1,291,4,7
2023-08-06,57,3,economy,1,171,3,8
2023-09-02,171,1,first,1,23,2,9
2023-08-28,57,1,economy,1,271,4,10
2023-09-10,114,2,business,1,200,2,11
2023-09-02,114,1,business,1,183,5,12
2023-08-27,57,1,economy,1,90,5,13
2023-08-09,57,1,economy,1,300,3,14
2023-09-01,114,1,business,1,229,2,15
2023-08-27,114,1,business,1,253,3,16
2023-08-25,57,3,economy,1,175,5,17
2023-07-23,57,3,economy,1,267,3,18
2023-08-27,57,4,economy,1,135,5,19
2023-08-26,114,2,business,1,228,5,20
2023-09-07,114,4,business,1,184,3,21
2023-08-26,57,1,economy,1,169,5,22
2023-09-14,114,1,business,1,179,4,23
2023-09-09,171,1,first,1,261,2,24
2023-08-19,57,2,economy,1,168,5,25
2023-08-08,57,1,economy,1,86,3,26
2023-08-20,57,1,economy,1,252,5,27
2023-08-26,57,1,economy,1,81,5,28
2023-09-09,114,3,business,1,218,4,29
2023-09-12,171,1,first,1,259,4,30
2023-08-30,114,1,business,1,125,3,31
2023-08-17,57,1,economy,1,176,5,32
2023-09-02,114,1,business,1,94,4,33
2023-08-12,57,2,economy,1,100,3,34
2023-08-03,57,1,economy,1,208,3,35
2023-08-15,57,2,economy,1,75,4,36
2023-07-31,57,1,economy,1,205,5,37
2023-08-05,57,8,economy,1,193,4,38
2023-09-09,114,2,business,1,264,5,39
2023-08-13,57,5,economy,1,224,4,40
2023-07-25,57,5,economy,1,145,4,41
2023-09-04,114,1,business,1,159,4,42
2023-08-04,57,2,economy,1,5,2,43
2023-09-01,114,2,business,1,17,3,44
2023-08-03,57,2,economy,1,185,4,45
2023-08-29,57,3,economy,1,37,5,46
2023-08-23,57,1,economy,1,239,4,47
2023-09-10,171,2,first,1,55,3,48
2023-08-18,57,1,economy,1,38,5,49
2023-08-25,57,2,economy,1,251,4,50
2023-08-10,57,1,economy,1,214,5,51
2023-08-27,57,1,economy,1,263,2,52
2023-09-24,30,1,economy,2,206,1,53
2023-09-17,30,3,economy,2,64,1,54
2023-09-30,30,1,economy,2,101,2,55
2023-09-09,30,1,economy,2,77,2,56
2023-10-04,60,2,business,2,252,1,57
2023-09-23,30,1,economy,2,155,4,58
