purchase_date,price,num_tickets,fare_type,trip_id,passenger_id,star_rating,transaction_id
2022-12-02,6,2,economy,1,877,2,1
2022-12-26,12,1,business,1,280,1,2
2022-12-27,18,1,first,1,350,1,3
2022-12-11,6,2,economy,1,40,2,4
2022-12-26,18,1,first,1,749,1,5
2022-11-21,6,2,economy,1,126,1,6
2022-11-29,6,1,economy,1,846,1,7
2022-12-13,6,1,economy,1,887,2,8
2022-12-28,12,1,business,1,445,1,9
2022-11-23,6,2,economy,1,394,2,10
2022-12-24,12,1,business,1,229,2,11
2022-12-24,6,1,economy,1,375,2,12
2022-12-16,6,2,economy,1,848,2,13
2022-12-02,6,1,economy,1,864,1,14
2022-11-30,6,1,economy,1,259,2,15
2022-11-23,6,1,economy,1,458,1,16
2022-11-27,6,1,economy,1,962,2,17
2022-12-10,6,2,economy,1,522,1,18
2022-11-23,6,2,economy,1,266,2,19
2022-12-23,18,1,first,1,643,1,20
2022-12-25,6,2,economy,1,754,1,21
2022-11-27,6,1,economy,1,224,1,22
2022-12-28,12,1,business,1,933,1,23
2022-12-21,12,1,business,1,78,2,24
2022-12-22,12,1,business,1,210,1,25
2022-12-13,6,1,economy,1,746,1,26
2022-12-08,6,2,economy,1,943,1,27
2022-12-04,6,2,economy,1,92,4,28
2022-11-28,6,2,economy,1,905,2,29
2022-12-06,6,1,economy,1,902,1,30
2022-11-19,6,2,economy,1,306,2,31
2022-12-01,6,2,economy,1,658,1,32
2022-12-26,18,1,first,1,544,1,33
2022-12-09,6,4,economy,1,528,1,34
2022-12-27,18,1,first,1,134,1,35
2022-12-07,6,3,economy,1,414,2,36
2022-12-22,12,1,business,1,415,1,37
2022-12-29,18,1,first,1,387,1,38
2022-12-18,6,1,economy,1,647,3,39
2022-12-18,12,1,business,1,501,1,40
2022-12-20,12,1,business,1,978,2,41
2022-12-14,6,1,economy,1,516,1,42
2022-12-16,12,1,business,1,716,1,43
2022-12-28,6,3,economy,1,585,2,44
2022-12-07,6,1,economy,1,83,3,45
2023-04-27,65,2,economy,2,989,2,46
2023-05-14,195,1,first,2,656,3,47
2023-04-29,65,4,economy,2,929,4,48
