purchase_date,price,num_tickets,fare_type,trip_id,passenger_id,star_rating,transaction_id
2023-08-31,12,1,economy,1,419,5,1
2023-10-02,24,2,business,1,291,5,2
2023-09-25,24,1,business,1,950,5,3
2023-08-20,12,2,economy,1,603,5,4
2023-09-22,12,2,economy,1,610,5,5
2023-08-18,12,2,economy,1,675,5,6
2023-08-19,12,1,economy,1,144,4,7
2023-10-09,36,1,first,1,861,3,8
2023-10-07,36,1,first,1,620,5,9
2023-10-02,36,1,first,1,215,3,10
2023-09-18,12,1,economy,1,617,5,11
2023-08-10,12,2,economy,1,289,4,12
2023-09-30,24,1,business,1,47,4,13
2023-10-02,36,1,first,1,872,5,14
2023-09-21,12,1,economy,1,384,2,15
2023-10-02,36,1,first,1,729,3,16
2023-10-01,24,1,business,1,592,5,17
2023-09-02,12,3,economy,1,10,4,18
2023-09-01,12,5,economy,1,23,5,19
2023-08-17,12,1,economy,1,101,4,20
2023-10-01,36,1,first,1,467,5,21
2023-09-09,12,2,economy,1,503,4,22
2023-08-28,12,4,economy,1,765,5,23
2023-10-03,36,1,first,1,863,5,24
2023-09-14,12,5,economy,1,431,5,25
2023-09-04,12,2,economy,1,507,5,26
2023-09-26,24,1,business,1,102,5,27
2023-09-13,12,1,economy,1,216,5,28
2023-09-17,24,1,business,1,585,5,29
2023-10-01,24,1,business,1,25,5,30
2023-09-28,24,1,business,1,189,5,31
2023-09-09,12,2,economy,1,998,5,32
2023-09-08,12,3,economy,1,951,5,33
2023-09-27,24,1,business,1,767,5,34
2023-09-26,12,1,economy,1,558,5,35
2023-09-17,12,2,economy,1,694,4,36
2023-09-19,12,1,economy,1,713,4,37
2023-09-09,12,1,economy,1,530,4,38
2023-09-11,12,1,economy,1,668,4,39
2023-09-12,12,3,economy,1,559,5,40
2023-09-14,12,3,economy,1,70,5,41
2023-10-04,36,1,first,1,684,5,42
2023-09-21,24,3,business,1,269,5,43
2023-09-17,12,1,economy,1,190,5,44
2023-08-27,12,4,economy,1,337,5,45
2023-09-12,12,1,economy,1,181,4,46
2023-09-03,12,6,economy,1,834,4,47
2023-08-31,12,3,economy,1,937,5,48
2023-09-06,12,4,economy,1,807,5,49
2023-09-19,24,1,business,1,417,5,50
2023-09-22,12,1,economy,1,309,5,51
2023-09-12,12,1,economy,1,939,4,52
2023-09-18,24,1,business,1,276,4,53
2023-05-12,72,1,economy,2,54,1,54
2023-05-31,72,4,economy,2,826,3,55
2023-05-09,72,2,economy,2,477,1,56
2023-05-20,72,6,economy,2,454,1,57
2023-05-16,72,2,economy,2,845,3,58
2023-04-27,72,1,economy,2,326,2,59
2023-05-07,72,1,economy,2,971,1,60
2023-05-31,144,1,business,2,248,1,61
2023-05-27,144,1,business,2,613,1,62
2023-06-02,72,1,economy,2,614,2,63
2023-04-30,72,1,economy,2,575,3,64
2023-05-02,72,2,economy,2,208,2,65
2023-05-12,72,3,economy,2,28,1,66
2023-06-06,72,2,economy,2,949,2,67
2023-06-02,144,1,business,2,280,1,68
2023-04-24,72,1,economy,2,709,2,69
2023-05-23,72,1,economy,2,402,1,70
2023-06-03,216,1,first,2,679,1,71
2023-05-21,72,1,economy,2,482,1,72
2023-05-18,72,1,economy,2,925,1,73
2023-05-14,72,1,economy,2,203,2,74
2023-06-08,144,1,business,2,824,1,75
2023-05-20,72,1,economy,2,574,2,76
2023-05-11,72,7,economy,2,619,2,77
2023-05-15,72,1,economy,2,792,1,78
2023-04-29,72,1,economy,2,640,2,79
2023-05-10,72,1,economy,2,12,1,80
2023-05-18,72,1,economy,2,434,2,81
2023-05-28,144,1,business,2,162,1,82
2023-05-19,72,1,economy,2,152,1,83
2023-05-11,72,1,economy,2,445,1,84
2023-05-21,72,1,economy,2,664,1,85
2023-05-04,72,1,economy,2,981,2,86
2023-06-02,144,1,business,2,701,1,87
2023-05-29,144,1,business,2,805,1,88
2023-04-29,72,3,economy,2,78,2,89
2023-05-27,72,3,economy,2,242,2,90
2023-04-25,72,3,economy,2,451,2,91
2023-05-26,72,2,economy,2,161,1,92
2023-05-17,72,1,economy,2,342,1,93
2023-05-21,72,1,economy,2,964,1,94
2023-06-10,216,1,first,2,514,1,95
2023-05-20,72,3,economy,2,761,1,96
2023-05-17,72,1,economy,2,29,1,97
2023-05-10,72,2,economy,2,108,2,98
2023-06-04,72,1,economy,2,219,1,99
2023-04-28,72,1,economy,2,467,1,100
2023-05-26,72,1,economy,2,336,4,101
2023-05-18,144,1,business,2,426,1,102
2023-06-04,144,3,business,2,780,1,103
2023-05-17,72,1,economy,2,440,2,104
2023-04-30,72,1,economy,2,501,2,105
2023-06-09,216,2,first,2,392,1,106
2023-05-03,72,1,economy,2,27,3,107
2023-05-23,72,4,economy,2,661,1,108
2023-05-06,72,3,economy,2,516,3,109
2023-05-28,72,3,economy,2,104,1,110
2023-05-30,144,1,business,2,148,1,111
2023-05-23,72,1,economy,2,304,1,112
2023-05-23,72,3,economy,2,980,1,113
2023-06-05,216,1,first,2,628,1,114
2023-05-24,24,1,business,3,485,1,115
2023-04-29,12,3,economy,3,17,2,116
2023-05-02,12,1,economy,3,324,1,117
2023-05-21,12,3,economy,3,588,1,118
2023-05-25,12,5,economy,3,692,1,119
2023-05-15,24,3,business,3,484,1,120
2023-05-24,12,1,economy,3,637,3,121
2023-05-14,12,2,economy,3,87,1,122
2023-05-19,12,1,economy,3,140,3,123
2023-05-19,12,1,economy,3,268,1,124
2023-05-30,24,1,business,3,59,1,125
2023-05-12,12,1,economy,3,398,3,126
2023-05-13,12,1,economy,3,794,1,127
2023-04-27,12,3,economy,3,679,2,128
2023-05-26,24,1,business,3,514,1,129
2023-05-27,12,1,economy,3,152,2,130
2023-05-02,12,7,economy,3,752,2,131
2023-05-11,12,1,economy,3,481,2,132
2023-05-24,12,2,economy,3,420,2,133
2023-05-05,12,3,economy,3,319,3,134
2023-05-02,12,3,economy,3,625,1,135
2023-05-28,24,1,business,3,710,1,136
2023-06-04,24,1,business,3,32,1,137
2023-05-08,12,2,economy,3,382,1,138
2023-05-17,24,1,business,3,897,1,139
2023-06-03,36,1,first,3,297,1,140
2023-05-23,24,1,business,3,519,1,141
2023-05-29,24,1,business,3,92,1,142
2023-05-10,12,2,economy,3,740,1,143
2023-05-09,12,3,economy,3,48,2,144
2023-05-05,12,1,economy,3,345,1,145
