route_id,train_id,actual_departure,actual_arrival,trip_id,departure_delay,arrival_delay
6,12,2023-10-10 10:22:00,2023-10-10 11:48:00,1,1,-3
1,16,2023-06-14 10:32:00,2023-06-14 18:39:00,2,91,90
6,15,2023-06-10 10:23:00,2023-06-10 12:51:00,3,2,60
6,8,2023-02-03 11:31:00,2023-02-03 13:04:00,4,70,73
9,11,2023-01-06 11:34:00,2023-01-06 12:15:00,5,7,6
17,1,2023-07-15 10:12:00,2023-07-15 14:52:00,6,1,36
2,5,2023-03-20 10:29:00,2023-03-20 18:58:00,7,88,109
10,11,2023-09-11 11:27:00,2023-09-11 12:04:00,8,0,-5
9,3,2023-10-31 11:34:00,2023-10-31 12:04:00,9,7,-5
19,6,2023-03-20 06:03:00,2023-03-20 13:53:00,10,1,4
4,10,2023-01-08 07:24:00,2023-01-08 14:21:00,11,3,-3
8,2,2023-06-15 06:33:00,2023-06-15 16:50:00,12,0,-1
9,17,2023-07-27 12:32:00,2023-07-27 13:26:00,13,65,77
9,4,2023-10-23 11:35:00,2023-10-23 12:35:00,14,8,26
1,1,2023-05-10 09:03:00,2023-05-10 17:57:00,15,2,48
17,1,2023-12-06 10:14:00,2023-12-06 14:17:00,16,3,1
1,14,2023-05-16 09:04:00,2023-05-16 17:15:00,17,3,6
14,5,2023-08-10 11:47:00,2023-08-10 17:14:00,18,2,4
19,14,2023-05-03 06:04:00,2023-05-03 14:25:00,19,2,36
14,3,2023-08-07 11:47:00,2023-08-07 17:11:00,20,2,1
6,10,2023-09-23 10:23:00,2023-09-23 11:43:00,21,2,-8
7,9,2023-03-10 06:34:00,2023-03-10 17:00:00,22,1,9
12,5,2023-04-20 05:45:00,2023-04-20 11:53:00,23,35,105
14,16,2023-09-01 12:31:00,2023-09-01 17:56:00,24,46,46
11,17,2023-09-01 06:25:00,2023-09-01 11:21:00,25,75,73
4,13,2023-04-05 07:24:00,2023-04-05 15:47:00,26,3,83
13,8,2023-07-08 11:54:00,2023-07-08 17:16:00,27,9,6
3,9,2023-01-31 08:23:00,2023-01-31 15:36:00,28,62,72
18,8,2023-05-21 10:23:00,2023-05-21 14:30:00,29,12,14
11,19,2023-06-11 05:11:00,2023-06-11 10:09:00,30,1,1
15,19,2023-12-03 08:00:00,2023-12-03 18:44:00,31,3,107
13,10,2023-01-07 11:46:00,2023-01-07 17:12:00,32,1,2
13,3,2023-06-20 12:01:00,2023-06-20 17:29:00,33,16,19
17,15,2023-12-15 10:13:00,2023-12-15 15:09:00,34,2,53
1,4,2023-05-15 09:02:00,2023-05-15 17:10:00,35,1,1
14,7,2023-09-03 11:45:00,2023-09-03 17:19:00,36,0,9
14,17,2023-07-05 12:23:00,2023-07-05 18:58:00,37,38,108
17,7,2023-03-09 11:37:00,2023-03-09 15:47:00,38,86,91
13,13,2023-09-06 11:46:00,2023-09-06 17:05:00,39,1,-5
6,10,2023-07-22 10:23:00,2023-07-22 12:58:00,40,2,67
5,15,2023-02-03 10:24:00,2023-02-03 11:55:00,41,3,4
12,15,2023-01-23 05:13:00,2023-01-23 10:07:00,42,3,-1
17,16,2023-07-29 10:13:00,2023-07-29 15:13:00,43,2,57
20,5,2023-08-01 06:51:00,2023-08-01 14:40:00,44,49,51
16,17,2023-10-29 09:17:00,2023-10-29 18:14:00,45,80,77
4,17,2023-05-19 07:21:00,2023-05-19 14:28:00,46,0,4
4,1,2023-10-21 07:22:00,2023-10-21 15:26:00,47,1,62
20,5,2023-07-21 07:21:00,2023-07-21 15:08:00,48,79,79
6,8,2023-12-21 11:03:00,2023-12-21 13:00:00,49,42,69
13,6,2023-02-09 11:47:00,2023-02-09 17:03:00,50,2,-7
15,6,2023-06-23 08:12:00,2023-06-23 17:21:00,51,15,24
19,2,2023-05-03 06:02:00,2023-05-03 13:49:00,52,0,0
2,10,2023-01-05 09:04:00,2023-01-05 17:06:00,53,3,-3
7,19,2023-09-07 06:34:00,2023-09-07 17:19:00,54,1,28
7,18,2023-02-18 06:45:00,2023-02-18 18:01:00,55,12,70
9,16,2023-02-11 11:32:00,2023-02-11 13:12:00,56,5,63
1,2,2023-03-20 09:10:00,2023-03-20 17:22:00,57,9,13
13,12,2023-04-04 11:46:00,2023-04-04 18:07:00,58,1,57
16,15,2023-08-06 07:57:00,2023-08-06 18:05:00,59,0,68
14,6,2023-12-16 11:45:00,2023-12-16 17:06:00,60,0,-4
16,14,2023-10-12 08:01:00,2023-10-12 17:43:00,61,4,46
18,19,2023-10-23 10:33:00,2023-10-23 14:36:00,62,22,20
17,12,2023-08-15 10:16:00,2023-08-15 14:26:00,63,5,10
7,14,2023-05-31 07:04:00,2023-05-31 17:24:00,64,31,33
16,1,2023-08-13 08:38:00,2023-08-13 17:38:00,65,41,41
18,7,2023-10-28 10:15:00,2023-10-28 14:21:00,66,4,5
4,2,2023-04-04 07:22:00,2023-04-04 14:03:00,67,1,-21
16,18,2023-04-02 07:59:00,2023-04-02 16:55:00,68,2,-2
5,14,2023-07-22 11:08:00,2023-07-22 13:54:00,69,47,123
1,16,2023-08-15 09:33:00,2023-08-15 17:41:00,70,32,32
4,15,2023-01-02 07:24:00,2023-01-02 14:24:00,71,3,0
20,8,2023-03-30 07:10:00,2023-03-30 15:40:00,72,68,111
2,6,2023-10-24 09:37:00,2023-10-24 17:45:00,73,36,36
9,4,2023-02-28 11:28:00,2023-02-28 12:08:00,74,1,-1
16,19,2023-04-11 08:02:00,2023-04-11 17:08:00,75,5,11
1,9,2023-12-22 09:09:00,2023-12-22 17:22:00,76,8,13
20,18,2023-02-28 06:58:00,2023-02-28 15:20:00,77,56,91
1,6,2023-02-04 10:27:00,2023-02-04 18:33:00,78,86,84
16,11,2023-10-10 07:58:00,2023-10-10 16:54:00,79,1,-3
16,7,2023-10-03 07:57:00,2023-10-03 16:54:00,80,0,-3
15,19,2023-03-04 07:58:00,2023-03-04 16:59:00,81,1,2
14,6,2023-08-26 11:51:00,2023-08-26 19:18:00,82,6,128
11,3,2023-08-12 05:17:00,2023-08-12 10:14:00,83,7,6
13,10,2023-12-13 12:30:00,2023-12-13 18:34:00,84,45,84
14,14,2023-06-10 11:48:00,2023-06-10 17:16:00,85,3,6
18,4,2023-01-02 10:55:00,2023-01-02 16:14:00,86,44,118
2,8,2023-10-13 09:50:00,2023-10-13 17:56:00,87,49,47
18,4,2023-05-29 10:11:00,2023-05-29 14:20:00,88,0,4
11,3,2023-02-28 05:16:00,2023-02-28 10:42:00,89,6,34
18,19,2023-12-04 10:20:00,2023-12-04 14:22:00,90,9,6
10,17,2023-12-01 13:37:00,2023-12-01 14:22:00,91,130,133
15,10,2023-06-22 08:02:00,2023-06-22 18:24:00,92,5,87
16,15,2023-09-04 08:03:00,2023-09-04 17:02:00,93,6,5
2,18,2023-09-06 09:02:00,2023-09-06 18:51:00,94,1,102
7,15,2023-05-12 07:45:00,2023-05-12 18:15:00,95,72,84
10,13,2023-03-15 11:31:00,2023-03-15 12:07:00,96,4,-2
17,2,2023-10-06 11:39:00,2023-10-06 17:14:00,97,88,178
16,4,2023-04-03 08:15:00,2023-04-03 18:30:00,98,18,93
3,15,2023-12-12 07:23:00,2023-12-12 14:25:00,99,2,1
15,7,2023-12-15 08:03:00,2023-12-15 16:56:00,100,6,-1
